"","location","region","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","pop","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper"
"1","Albania","Europe and central Asia",2098317483434.51,1492708712608.72,1275643633333.78,955513397156.886,1120441603.77238,1043293904.57009,1218709437.58174,737608592.700087,685527730.437976,804200921.594604,604587260.967141,561284800.33188,660064995.416915,414547474.94652,383896877.823941,453975002.574841,0.000533971437886725,0.000497204981041494,0.000580803165966556,0.000494141011216456,0.000459250840199036,0.000538752748477731,0.00047394683371492,0.000440001255574029,0.000517436828099,0.00043384789389662,0.000401770272364804,0.000475111080520311,2736080,409.506156169549,381.309722146315,445.421711931574,269.585901252919,250.551054953794,293.924491094779,220.968415019715,205.141955034897,241.244771869578,151.51145980619,140.309083734372,165.921684517573
"2","Algeria","Middle East and north Africa",19898230771822.8,14476075358104.7,12509273061369.6,9574456750799.93,26829361386.5171,25612760880.8651,28359694875.8682,17740552461.5738,16896043348.0996,18803153537.1984,14575236934.0662,13863589496.0492,15470804192.6707,10042430019.0356,9525822322.59559,10692760479.9075,0.00134832898935463,0.00128718784974262,0.00142523700730355,0.0012255084353123,0.0011671701707908,0.00129891238281452,0.00116515459072331,0.00110826499893602,0.00123674686105036,0.00104887726587689,0.000994920398152065,0.00111680074997614,52352519.5,512.475075559966,489.236451759788,541.706400125942,338.867214625149,322.736011742464,359.16425258575,278.405644528077,264.812269370325,295.512123206806,191.82324203204,181.955375091271,204.245384597154
"3","Argentina","Latin America and Caribbean",31599551938976.4,23720832113736.8,20806409905157.6,16375440336743,31142341140.1844,30502660827.8588,31827123779.1089,21074407099.5273,20615708679.3822,21565743513.7932,17522886247.5102,17129914740.3515,17943952393.9859,12372444394.3358,12077590432.834,12688585297.9413,0.000985531098679027,0.000965287763787415,0.00100720174262508,0.000888434562433544,0.000869097196107365,0.000909147849889482,0.000842186918713283,0.000823299878183465,0.00086242424694026,0.000755548806011321,0.000737542941409304,0.00077485460158716,48912958,636.688975959794,623.611044497836,650.689001043627,430.855298089461,421.477447333735,440.900415668854,358.246300448854,350.212202262466,366.854778931708,252.948194102998,246.920058133348,259.411530538417
"4","Armenia","Europe and central Asia",2851202823089.1,1980733006210,1672411752286.2,1222990434234.26,4994830269.12724,4946421390.60799,5047548579.68096,3225836240.49318,3192076459.21856,3262599637.86648,2617476096.40973,2588943503.99484,2648546611.81942,1757174385.58224,1736313858.46929,1779889737.36803,0.00175183267520606,0.00173485426941632,0.00177032252451695,0.00162860730364947,0.0016115632188744,0.00164716780486697,0.00156509070976787,0.00154802996358746,0.00158366897876605,0.00143678506094158,0.00141972807788675,0.00145535867456106,2726572.5,1831.90810775332,1814.1536271667,1851.24311922055,1183.11038510554,1170.72861961989,1196.59375933208,959.98771219534,949.523074847575,971.383160293526,644.462740522117,636.811916231565,652.79384185384
"5","Australia","East Asia and Pacific",55082156238146.6,39651392013800.2,34089345061102.9,25840439028632.3,62019687767.4192,61031749952.3506,63071695929.9902,40759383850.1497,40079849282.77,41483494549.5414,33377120726.0232,32806778654.6096,33985120535.3035,22837744884.4043,22426457836.5545,23276584367.2579,0.00112594880090166,0.00110801308664245,0.00114504769307325,0.00102794332758769,0.00101080560472683,0.00104620525138445,0.000979107127643459,0.000962376325969467,0.000996942606975506,0.000883798640537768,0.000867882229543586,0.000900781304120509,29329425,2114.58928251813,2080.90509624211,2150.45797624707,1389.70961245063,1366.5405742789,1414.39849398825,1138.00801502325,1118.56194434803,1158.73804328941,778.663232722916,764.640214956635,793.625663212214
"6","Austria","Europe and central Asia",19313892827972.1,14013642694085.1,12095316005738.7,9238841105240.9,15007201993.7294,14812527804.9234,15211781444.4719,10001698891.0055,9862365228.84761,10148409677.6913,8250445900.21175,8131149079.22406,8376187252.5607,5731488850.52576,5642024305.8954,5825983476.56503,0.000777015909086677,0.000766936419128855,0.000787608255878941,0.000713711567316258,0.000703768851835386,0.000724180707274259,0.000682119086123692,0.000672256026660749,0.000692514957739555,0.000620368808732349,0.000610685284185141,0.000630596782670083,9028581.5,1662.18824006068,1640.62624953027,1684.84733116403,1107.78186927875,1092.34936062189,1124.0314636016,913.814191100977,900.600950351288,927.741224084946,634.81609492319,624.907058312028,645.282260182846
"7","Bahrain","Middle East and north Africa",3524818917053.04,2518531741501.06,2157097883672,1622941175670.98,5549251391.77515,5290079611.78996,5819603704.05614,3635455390.84972,3460235016.58337,3818772844.73588,2971806771.63912,2826148908.24998,3124424720.26131,2025656986.96854,1922798033.25169,2133756993.86542,0.0015743365893005,0.00150080890289047,0.00165103622086824,0.00144348206176785,0.00137390963137953,0.00151626949218431,0.00137768749120473,0.00131016257057332,0.0014484390086845,0.00124813949965319,0.00118476138388487,0.00131474697040899,1636698.5,3390.51535256808,3232.16500277232,3555.69685195908,2221.21263681107,2114.15542727226,2333.21704928298,1815.73256872852,1726.73764181368,1908.98001083358,1237.64822107953,1174.80283219646,1303.69582049805
"8","Bangladesh","South Asia",95109132943634.8,64357378856282.6,53603801289430.1,38128274273632.5,50871768279.707,41852230265.4388,63055432857.7579,33090075488.9389,27247618914.2677,40985138493.1243,26954825504.8148,22204564770.0121,33375401406.5635,18249340167.3151,15043582251.0963,22584531053.9229,0.000534877847218474,0.000440044283552054,0.000662979788651074,0.00051416132970289,0.00042337987342702,0.000636836664598302,0.000502852873423548,0.000414234890733216,0.000622631242630635,0.000478630111511115,0.00039455187882709,0.000592330271541851,191166613.5,266.112201018338,218.930646409337,329.845424906049,173.095473540619,142.533355670224,214.394855580388,141.001741942846,116.152943045215,174.588024527429,95.4630091164695,78.6935646118787,118.140561473737
"9","Barbados","Latin America and Caribbean",156882018572.429,115513031355.484,100388566621.7,77649462240.0737,133861646.029935,110508490.741147,161340580.017086,93271291.6057601,76545369.3799006,112963614.531824,78794351.7439909,64469701.5123122,95664736.2502806,57552501.2691557,46805827.3797208,70217198.4738595,0.000853263154362933,0.0007044050793503,0.00102841983730977,0.000807452548957214,0.000662655706301544,0.000977929617171812,0.000784893682573596,0.000642201633929659,0.000952944538104419,0.000741183513817739,0.000602783664296454,0.000904284414189046,281285.5,475.892451014841,392.869489330758,573.582996695834,331.589405091127,272.126964880524,401.597716668026,280.122337425821,229.196675663382,340.098356475114,204.605289889296,166.399716230381,249.629641321218
"10","Belgium","Europe and central Asia",23082083197010.4,16822780887536.4,14551913855715.7,11162577401482.9,28030766371.3235,27680310159.7593,28384361100.7378,18621167222.599,18367058795.5819,18877870693.6595,15336071193.344,15117113167.0688,15557413560.7436,10620452725.0997,10454216725.4853,10788737009.1899,0.00121439499771641,0.0011992119568889,0.00122971401058004,0.00110690184619803,0.00109179682707451,0.00112216112305461,0.00105388688700355,0.00103884020459145,0.00106909742010553,0.000951433736413673,0.00093654147689014,0.000966509491594357,11978613,2340.06778341729,2310.81095613986,2369.58662081643,1554.53450433694,1533.32099430726,1575.96465414314,1280.28772557758,1262.0086454975,1298.76585550795,886.617901847209,872.740168288708,900.666630534762
