"","location","region","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper","inc","dea","pop","gdp_pc","le","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","pop_m","ni"
"1","Afghanistan",NA,4116104282.3046,3925973338.93086,4306235225.67833,2712083772.70209,2581554824.65149,2842612720.75269,2224245501.64848,2114848782.77083,2333642220.52613,1527081684.63727,1448504548.52746,1605658820.74708,0.00144640739807592,0.00137959499872025,0.00151321979743159,0.00132653279006479,0.00126268854919561,0.00139037703093397,0.00126686624814933,0.00120455702432414,0.00132917547197451,0.00115034472268859,0.0010911528701785,0.00120953657519868,73.0855992382492,69.7096318241237,76.4615666523748,48.1557934682074,45.8381198302414,50.4734671061734,39.4937310115823,37.5512814997359,41.4361805234287,27.1148815367187,25.7196649228686,28.5100981505689,0.0043073355337935,0.000118148815380814,38326027,2001.52857560738,62.575,2845743383074.53,2044490564435.75,1755706654035.28,1327499187433.28,56318951,1
"2","Albania","Europe and central Asia",1120441603.77238,1043293904.57009,1218709437.58174,737608592.700087,685527730.437976,804200921.594604,604587260.967141,561284800.33188,660064995.416915,414547474.94652,383896877.823941,453975002.574841,0.000533971437886725,0.000497204981041494,0.000580803165966556,0.000494141011216456,0.000459250840199036,0.000538752748477731,0.00047394683371492,0.000440001255574029,0.000517436828099,0.00043384789389662,0.000401770272364804,0.000475111080520311,409.506156169549,381.309722146315,445.421711931574,269.585901252919,250.551054953794,293.924491094779,220.968415019715,205.141955034897,241.244771869578,151.51145980619,140.309083734372,165.921684517573,0.0024985880667537,7.93020795069461e-05,2872130,13119.9465602184,76.989,2098317483434.51,1492708712608.72,1275643633333.78,955513397156.886,2706384.36666667,0
"3","Algeria","Middle East and north Africa",26829361386.5171,25612760880.8651,28359694875.8682,17740552461.5738,16896043348.0996,18803153537.1984,14575236934.0662,13863589496.0492,15470804192.6707,10042430019.0356,9525822322.59559,10692760479.9075,0.00134832898935463,0.00128718784974262,0.00142523700730355,0.0012255084353123,0.0011671701707908,0.00129891238281452,0.00116515459072331,0.00110826499893602,0.00123674686105036,0.00104887726587689,0.000994920398152065,0.00111680074997614,512.475075559966,489.236451759788,541.706400125942,338.867214625149,322.736011742464,359.16425258575,278.405644528077,264.812269370325,295.512123206806,191.82324203204,181.955375091271,204.245384597154,0.0046169558992784,0.00012200090033877,43090987,10930.3599845601,74.453,19898230771822.8,14476075358104.7,12509273061369.6,9574456750799.93,52227800.8,0
"4","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00253932951775167,0.002472517118396,0.00260614191710734,0.00233846244881126,0.00227461820794208,0.00240230668968044,0.00223833418187926,0.00217602495805408,0.00230064340570445,0.00204258073006487,0.00198338887755478,0.00210177258257495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0089004388018074,0.00102849933642035,46754,NA,NA,NA,NA,NA,NA,39115.7,1
"5","Andorra",NA,164771529.68779,153817988.930563,175725070.445017,111340389.768664,103682076.515451,118998703.021877,92472623.6116118,85995763.0474995,98949484.1757241,65080915.1212757,60346039.0016555,69815791.2408958,0.00100504316256658,0.000938230763210907,0.00107185556192225,0.000928199517025039,0.000864355276155859,0.000992043757894218,0.000889612698201982,0.000827303474376798,0.000951921922027167,0.00081359254851827,0.000754400696008182,0.000872784401028357,2025.47187866445,1890.82429229072,2160.11946503818,1368.66380292323,1274.52315762014,1462.80444822632,1136.72974346078,1057.11223332722,1216.34725359435,800.014199453417,741.810221815883,858.218177090952,0.0030757984034664,0.000169689078833576,77020,49728.2400025967,NA,163944729763.658,119953078757.808,103947058982.533,79992024557.9956,81349.7,1
"6","Angola",NA,4056820062.72939,3610211452.46175,4503428672.99704,2847755472.61079,2527219175.84129,3168291769.38028,2408684190.41525,2134249848.57582,2683118532.25469,1754205743.27354,1549011849.88084,1959399636.66623,0.000606898021922909,0.000540085622567238,0.00067371042127858,0.000567214347212078,0.000503370106342898,0.000631058588081257,0.000546882147980512,0.000484572924155328,0.000609191371805697,0.000506032055395915,0.000446840202885828,0.000565223907906002,78.2321250900513,69.6196798436517,86.844570336451,54.9164022348275,48.7351481301281,61.0976563395269,46.4493075791527,41.1570881985022,51.7415269598032,33.828279543937,29.8712999176797,37.7852591701943,0.0018647811642196,0.00014888545968598,32898997,6140.00481534437,62.261,6684516864753.78,5020598450317.46,4404393523010.16,3466590158801.43,51856191.5333333,1
"7","Antigua and Barbuda",NA,219026836.70636,211458588.545396,226595084.867324,141915668.894868,136824606.476637,147006731.313098,115440184.146249,111216339.302724,119664028.989773,78036472.6746304,75061838.3093299,81011107.039931,0.00193356615327619,0.00186675375392052,0.00200037855263186,0.0017796871072705,0.00171584286640132,0.00184353134813968,0.00170294803404452,0.00164063881021934,0.00176525725786971,0.00155283736207945,0.00149364550956936,0.00161202921458954,2236.59876494655,2159.3153838588,2313.88214603429,1449.17588433403,1397.18835582789,1501.16341284016,1178.82071973148,1135.68880812461,1221.95263133836,796.871657507691,766.496094185657,827.247220829724,0.0064812935409673,0.000609082890225198,92377,19121.6363272243,78.841,113276101950.402,79741921102.3692,67788436193.2505,50254118415.9361,97928.5333333333,1
"8","Argentina","Latin America and Caribbean",31142341140.1844,30502660827.8588,31827123779.1089,21074407099.5273,20615708679.3822,21565743513.7932,17522886247.5102,17129914740.3515,17943952393.9859,12372444394.3358,12077590432.834,12688585297.9413,0.000985531098679027,0.000965287763787415,0.00100720174262508,0.000888434562433544,0.000869097196107365,0.000909147849889482,0.000842186918713283,0.000823299878183465,0.00086242424694026,0.000755548806011321,0.000737542941409304,0.00077485460158716,636.688975959794,623.611044497836,650.689001043627,430.855298089461,421.477447333735,440.900415668854,358.246300448854,350.212202262466,366.854778931708,252.948194102998,246.920058133348,259.411530538417,0.0032369315920474,0.000223335812458666,44908441,19907.1706808972,75.892,31599551938976.4,23720832113736.8,20806409905157.6,16375440336743,48707213.2666667,0
"9","Armenia","Europe and central Asia",4994830269.12724,4946421390.60799,5047548579.68096,3225836240.49318,3192076459.21856,3262599637.86648,2617476096.40973,2588943503.99484,2648546611.81942,1757174385.58224,1736313858.46929,1779889737.36803,0.00175183267520606,0.00173485426941632,0.00177032252451695,0.00162860730364947,0.0016115632188744,0.00164716780486697,0.00156509070976787,0.00154802996358746,0.00158366897876605,0.00143678506094158,0.00141972807788675,0.00145535867456106,1831.90810775332,1814.1536271667,1851.24311922055,1183.11038510554,1170.72861961989,1196.59375933208,959.98771219534,949.523074847575,971.383160293526,644.462740522117,636.811916231565,652.79384185384,0.0029950224151156,0.000219142962045027,2812496,13324.9831267316,72.173,2851202823089.1,1980733006210,1672411752286.2,1222990434234.26,2710960.06666667,0
"10","Australia","East Asia and Pacific",62019687767.4192,61031749952.3506,63071695929.9902,40759383850.1497,40079849282.77,41483494549.5414,33377120726.0232,32806778654.6096,33985120535.3035,22837744884.4043,22426457836.5545,23276584367.2579,0.00112594880090166,0.00110801308664245,0.00114504769307325,0.00102794332758769,0.00101080560472683,0.00104620525138445,0.000979107127643459,0.000962376325969467,0.000996942606975506,0.000883798640537768,0.000867882229543586,0.000900781304120509,2114.58928251813,2080.90509624211,2150.45797624707,1389.70961245063,1366.5405742789,1414.39849398825,1138.00801502325,1118.56194434803,1158.73804328941,778.663232722916,764.640214956635,793.625663212214,0.0025333623655324,0.000161464355238999,25544179,48934.8277742651,83.2,55082156238146.6,39651392013800.2,34089345061102.9,25840439028632.3,29187314.7333333,0
