Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.7275461,122.7981686,121.5820087,133.3360484,142.0281375,150.0495289,166.8183936,179.7258998,186.8432766,195.8013039,198.3297911,204.4002943,201.679718,213.635711,209.99207,213.635563,221.9639214,212.8198517,210.1650988,215.0752427,208.724017,217.4873654,,
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.39655236,86.26033579,93.95296599,105.8867601,118.306464,112.2676674,137.7035084,153.5432387,148.7611035,147.3391694,155.3830259,178.0790192,202.2615553,215.7252333,239.1887475,264.5439889,299.7874915,321.4990806,322.4993097,363.611185,,
Africa Western and Central,AFW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.07757048,79.61448591,77.85072116,115.8365825,117.2572447,121.6212887,122.9207481,122.5379109,125.9306778,135.7247309,127.174353,133.8166006,135.4635943,144.7242414,151.7730516,157.407722,152.9858895,155.1505814,143.3208802,147.7569191,160.7898839,183.8821718,,
Angola,AGO,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35549658,151.0352836,125.3979539,135.6299907,166.8257847,137.3182932,143.4324986,179.3627711,218.8505483,247.5763201,177.5153409,177.2587236,177.0294781,208.8951587,197.7254442,189.5478609,190.6570225,201.4364003,182.3266889,173.1436925,200.1307093,198.5463085,,
Albania,ALB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.8174656,247.2743089,257.9195945,290.4869677,316.1663354,333.7111566,368.4268293,430.7864007,452.6283966,512.9493981,600.4291752,632.131473,649.9892844,666.0176549,725.7376495,753.1800705,811.4220403,838.4169877,896.7913541,981.8790244,1044.568617,1131.669115,,
Andorra,AND,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913.580589,2017.877774,2163.197797,2094.246149,2108.863981,2343.212871,2304.464595,2491.605236,2888.436584,3067.251465,3878.842268,3910.482216,3449.116417,3445.058283,3528.650997,3705.346975,3577.453276,3714.865213,4044.916874,4098.704637,4631.538485,4907.773484,,
Arab World,ARB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.5196791,453.4580041,457.9660899,447.9439361,463.1809311,460.962317,490.4411633,525.72428,529.8033324,644.074466,609.078838,630.3024994,680.8392588,756.9466073,801.9106562,799.281515,871.7276549,883.7479824,844.5770531,868.4409289,930.7550921,922.74753,,
United Arab Emirates,ARE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222.565099,2296.333686,2484.181082,2557.24201,2556.138675,2429.990775,2409.732586,2350.391428,2370.879027,2734.094005,2537.151877,2591.778205,2497.088613,2657.416484,2786.923365,2416.065548,2682.407365,2853.381021,3002.587776,3281.382326,4157.383096,4065.614004,,
Argentina,ARG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.861351,1044.539234,825.8561419,845.9592307,879.1764894,1028.49653,1138.15885,1293.519131,1418.628664,1536.573388,1693.282,1808.443055,1920.127825,1960.465834,1896.806034,2050.680833,1997.891098,2413.860064,2401.319013,2346.186688,2187.378138,2323.078206,,
