Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-2.351,-20.737,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021
Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.019,2.088,-3.302,8.909,4.844,3.607,3.33,3.429,3.451,3.466,3.466,2022
Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,1,-5.1,3.4,3.2,3.835,3.133,2.525,1.879,1.733,1.703,2022
Andorra,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,8.119,4.546,8.694,8.136,5.398,4.809,1.553,-5.559,-5.303,-1.975,-0.008,-4.974,-3.548,2.504,1.434,3.71,0.346,1.589,2.016,-11.184,8.287,8.811,2.05,1.5,1.5,1.5,1.5,1.5,2022
Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-0.15,-1.316,-0.702,-5.638,1.199,3.046,1.255,3.274,3.379,3.453,3.544,3.628,2022
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.203,-4.548,1.028,6.076,5.767,6.475,12.707,9.316,-0.014,-11.963,-7.841,-1.959,3.372,-0.601,3.797,3.824,5.497,3.144,6.824,4.344,-17.503,6.556,8.459,5.592,5.417,4.173,2.845,2.832,2.842,2022
Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.617,-2.001,-9.9,10.718,4.956,-2.5,2.75,3.25,3,2.75,2.5,2022
Armenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.134,3.412,3.607,3.254,0.195,7.518,5.225,7.631,-7.151,5.684,12.604,7.032,5.002,4.5,4.5,4.5,4.5,2022
Aruba,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.684,4.182,-0.945,1.111,7.294,-0.383,1.127,3.09,1.836,-11.678,-2.733,3.369,-1.041,6.431,-0.015,3.551,2.11,0.732,2.382,-2.303,-23.983,27.639,10.458,2.3,1.2,1.2,1.1,1.1,1.1,2021
Australia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.092,2.655,4.165,3.019,4.112,2.998,2.616,4.375,2.542,1.949,2.413,2.765,3.768,2.203,2.559,2.283,2.693,2.381,2.815,1.948,-1.83,5.206,3.692,1.777,1.237,1.978,2.189,2.297,2.302,2022
Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,1.989,2.259,2.425,1.517,-6.454,4.557,4.849,0.095,0.767,1.686,1.94,1.709,1.253,2022
Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.227,6.486,9.439,10.208,9.254,26.4,34.466,25,10.77,9.26,5,0.1,2.203,5.843,2.768,1.08,-3.064,0.154,1.47,2.48,-4.199,5.616,4.577,2.514,2.536,2.511,2.513,2.536,2.543,2022
The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.447,-2.324,-4.175,1.539,0.613,3.499,-2.863,1.847,0.997,-0.763,2.524,2.918,-0.744,-23.508,16.985,14.369,4.306,1.828,1.616,1.585,1.495,1.528,2022
Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.018,2.491,3.349,6.296,6.981,6.769,6.467,8.294,6.242,2.541,4.337,1.984,3.728,5.416,4.351,2.485,3.558,4.292,2.11,2.167,-4.645,2.591,4.891,2.744,3.598,3.164,2.666,2.72,2.716,2022
Bangladesh,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.293,5.077,3.833,4.74,5.24,6.536,6.672,7.059,6.014,5.045,5.572,6.464,6.521,6.014,6.061,6.553,7.114,6.59,7.319,7.882,3.448,6.939,7.1,6.025,6,6.6,7.1,7.2,7,2022
Barbados,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.453,-2.367,0.791,2.171,1.407,3.965,5.669,2.202,0.698,-5.076,-2.288,-0.673,-0.45,-1.411,-0.126,2.446,2.485,0.478,-0.583,-0.523,-13.311,-0.189,9.8,4.5,3.9,2.8,2.3,2,2,2022
Belarus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.76,4.717,5.048,7.033,11.439,9.452,10.001,8.637,10.235,0.168,7.805,5.29,1.629,0.962,1.686,-3.83,-2.536,2.541,3.138,1.446,-0.673,2.273,-3.664,1.629,1.329,0.597,0.653,0.872,0.646,2022
Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.717,1.1,1.707,1.038,3.571,2.322,2.552,3.677,0.447,-2.021,2.865,1.694,0.739,0.459,1.579,2.041,1.267,1.62,1.793,2.262,-5.363,6.286,3.248,1.001,0.852,1.223,1.192,1.244,1.304,2022
Belize,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.02,5.015,5.12,9.327,4.649,2.361,4.409,3.297,-1.53,-0.441,1.255,-0.117,3.853,4.534,4.088,3.371,0.12,-1.712,1.123,4.492,-13.392,15.208,12.726,4.007,2.998,2.544,2.544,2.544,2.544,2021
Benin,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.858,5.333,4.643,3.444,4.43,1.713,3.944,5.986,4.897,2.319,2.114,2.964,4.811,7.191,6.358,1.778,3.34,5.672,6.697,6.866,3.849,7.155,6.253,5.501,6.308,5.96,6.011,5.963,5.975,2022
Bhutan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.934,7.04,9.516,9.32,6.876,6.666,7.137,12.861,10.964,5.801,9.484,9.866,6.495,3.582,3.968,6.221,7.408,6.322,3.835,4.425,-2.348,-3.332,4.757,5.328,3.037,4.578,5.536,3.071,3.625,2021
Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.224,2.217,-8.738,6.106,3.478,1.8,1.8,2.1,2.2,2.3,2.3,2022
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.148,4.314,3.242,3.244,3.829,2.886,-3.015,7.39,4.106,2,3,3,3,3,3,2022
Botswana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.271,2.348,7.434,5.388,1.397,4.972,6.034,5.793,3.252,-14.144,10.122,6.839,-0.171,11.103,5.697,-4.851,7.202,4.113,4.19,3.033,-8.726,11.867,5.782,3.841,4.11,4.349,4.026,3.987,4.049,2021
Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.388,1.39,3.053,1.141,5.76,3.202,3.962,6.07,5.094,-0.126,7.528,3.974,1.921,3.005,0.504,-3.546,-3.276,1.323,1.784,1.221,-3.277,4.989,2.901,3.084,1.507,1.896,1.877,2.015,2.015,2022
Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.85,2.745,3.871,2.904,0.504,0.388,4.397,0.154,-1.939,-1.765,2.599,3.744,0.913,-2.125,-2.508,-0.405,-2.465,1.329,0.052,3.869,1.134,-1.591,-1.628,-0.768,3.515,2.83,2.963,3.108,3.161,2022
Bulgaria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.587,3.824,5.872,5.237,6.51,7.056,6.803,6.654,6.13,-3.347,1.542,2.101,0.755,-0.56,0.967,3.428,3.04,2.762,2.685,4.038,-3.959,7.635,3.361,1.663,3.161,3,2.94,2.84,2.84,2022
Burkina Faso,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.888,6.613,4.353,7.802,4.478,8.662,6.253,4.111,5.8,2.962,8.446,6.623,6.453,5.793,4.327,3.921,5.958,6.203,6.603,5.689,1.931,6.905,1.481,4.371,6.449,5.97,5.648,5.251,5.28,2021
Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.781,1.665,2.353,2.469,3.766,4.37,5.414,3.452,4.862,3.813,5.124,4.033,4.447,4.924,4.241,-3.9,-0.6,0.5,1.61,1.842,0.335,3.119,1.827,3.336,5.95,5.945,5.7,5.942,5.466,2022
Cabo Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.267,6.138,5.3,7.502,4.927,5.81,9.118,15.2,7.039,-1.504,1.836,3.925,1.084,0.632,0.697,0.936,4.281,4.551,3.707,6.948,-19.598,6.415,17.004,4.411,4.478,4.596,4.597,4.708,4.702,2021
