location,share_cs_gdp
Albania,
Algeria,
Argentina,0.54392
Armenia,0.54867
Australia,0.57165
Austria,0.58386
Bahrain,0.29705
Bangladesh,
Barbados,0.75057
Belgium,0.59481
Belize,
Benin,0.61716
Bolivia (Plurinational State of),0.42857
Botswana,0.27796
Brazil,0.578
Brunei Darussalam,
Bulgaria,0.52766
Burundi,0.60622
Cambodia,
Cameroon,0.50353
Canada,0.65488
Chile,0.43961
China,0.58625
Colombia,0.49521
Congo,
Costa Rica,0.57979
C?te d'Ivoire,0.3341
Croatia,0.59055
Cyprus,0.55271
Czech Republic,0.54925
Democratic Republic of the Congo,
Denmark,0.62039
Dominican Republic,0.42688
Ecuador,0.66696
Egypt,0.36204
El Salvador,
Estonia,0.58835
Eswatini,
Fiji,0.48863
Finland,0.57127
France,0.62413
Gabon,0.27486
Gambia,
Germany,0.6419
Ghana,
Greece,0.55089
Guatemala,0.49327
Haiti,
Honduras,0.56351
Hungary,0.55542
Iceland,0.64183
India,0.5218
Indonesia,0.46375
Iraq,0.29631
Ireland,0.31684
Israel,0.55299
Italy,0.52237
Jamaica,0.59487
Japan,0.56364
Jordan,0.49012
Kazakhstan,0.38072
Kenya,0.68222
Kuwait,0.24949
Kyrgyzstan,0.47984
Lao People's Democratic Republic,0.39798
Latvia,0.57135
Lesotho,0.66113
Lithuania,0.53549
Luxembourg,0.56299
Malaysia,0.39598
Maldives,
Mali,
Malta,0.51373
Mauritania,0.40409
Mauritius,0.42614
Mexico,0.36026
Mongolia,0.40278
Morocco,0.4854
Mozambique,0.41486
Namibia,0.51109
Nepal,
Netherlands,0.59589
New Zealand,0.55242
Nicaragua,
Niger,0.44994
Norway,0.5285
Pakistan,
Panama,0.30631
Paraguay,0.44938
Peru,0.44721
Philippines,0.49699
Poland,0.57971
Portugal,0.58629
Qatar,0.1762
Republic of Korea,0.51725
Republic of Moldova,0.53064
Romania,0.50458
Russian Federation,0.5392
Rwanda,0.74101
Saudi Arabia,0.28088
Senegal,0.48618
Serbia,0.60268
Sierra Leone,0.54757
Singapore,0.43947
Slovakia,0.57377
Slovenia,0.6367
South Africa,0.57089
Spain,0.55543
Sri Lanka,0.41148
Sudan,0.63499
Sweden,0.55667
Switzerland,0.6841
Tajikistan,0.44427
Thailand,0.6372
Togo,0.8062
Tunisia,0.50168
T¨¹rkiye,0.43683
Uganda,
Ukraine,0.55844
United Kingdom,0.58964
United Republic of Tanzania,0.58367
United States of America,0.59709
Uruguay,0.47397
Venezuela (Bolivarian Republic of),
Viet Nam,
Yemen,
Zambia,
Zimbabwe,0.53338
