"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"1","Albania",2021,"Europe and central Asia",16029813.5654678,16029813.5654678,16029813.5654678,16029813.5654678,17.519504887527,41039120681,215221374693.12,0.516049904761905,25.7362001995683,1.89499383971782,1131.669115,2861567,61366476.0526278,41039120681,41039120681,41039120681,215221374693.12,215221374693.12,215221374693.12
"2","Albania",2022,"Europe and central Asia",16096015.6904284,16097198.2508424,16096797.7695021,16097748.2092398,17.519504887527,43027055686.7876,211650156711.97,0.516049904761905,27.1444529812868,1.93289371651217,1140.25479128967,2847853,62766432.9635725,43029744735.118,43029192282.4447,43030503376.3217,211660907814.741,211660907814.741,211660907814.741
"3","Albania",2023,"Europe and central Asia",16157817.5859901,16159646.5574147,16159044.2035383,16160461.6440154,17.519504887527,44579041585.41,208605776000.377,0.516049904761905,28.2654865693066,1.97155159084242,1148.90560484992,2836789,64256864.2948683,44583887872.7063,44583020246.0755,44585062094.9062,208627457024.254,208627360237.281,208627589934.437
"4","Albania",2024,"Europe and central Asia",16219490.483261,16221659.5935265,16220959.2111109,16222595.7902609,17.519504887527,46063523670.2042,205985514569.727,0.516049904761905,29.3282266155827,2.01098262265926,1157.62204986011,2828089,65836719.1982348,46070241970.0462,46069189075.0793,46071649974.2838,206018218072.431,206017974120.916,206018550055.02
"5","Albania",2025,"Europe and central Asia",16311449.9434136,16313789.5443421,16313042.5388464,16314780.2267507,17.519504887527,47643041896.8555,203756340122.009,0.516049904761905,30.4052074388017,2.05120227511245,1166.40462424881,2823951,67563926.2268629,47651522392.8837,47650349287.1779,47653079276.0197,203800119729.685,203799703513.761,203800681788.516
"6","Albania",2026,"Europe and central Asia",16413193.6400588,16415620.8682567,16414850.2666043,16416638.9115476,17.519504887527,49287203272.716,201915348169.595,0.516049904761905,31.4917425145528,2.0922263206147,1175.25382972224,2819302,69323732.1847048,49297451503.1539,49296186275.1406,49299124477.0759,201970261403.16,201969660475.721,201971068117.267
"7","Albania",2027,"Europe and central Asia",16488302.8120553,16490775.2628373,16489992.029651,16491808.5765318,17.519504887527,50995497738.1483,200454454747.404,0.516049904761905,32.6210015335324,2.13407084702699,1184.17017179295,2814087,71114878.1686458,51007582713.9545,51006234944.5,51009362487.8605,200520562933.172,200519770390.421,200521622408.321
"8","Albania",2028,"Europe and central Asia",16569935.1544613,16572433.2369027,16571642.2934155,16573476.2974011,17.519504887527,52763001689.7525,199365890728.687,0.516049904761905,33.7545692453637,2.17675226396753,1193.15415980865,2808134,72932884.852376,52777016913.5181,52775590384.1623,52778899913.3033,199443269707.65,199442280669.502,199444588016.619
"9","Albania",2029,"Europe and central Asia",16632716.2697659,16635236.6837354,16634438.5197756,16636289.2172504,17.519504887527,54505995099.7332,198641412852.095,0.516049904761905,34.8630162557646,2.22028730924688,1202.20630698136,2801409,74776425.0212408,54522041246.8086,54520533321.9134,54524031518.4375,198730155760.249,198728966253.127,198731738046.008
"10","Albania",2030,"Europe and central Asia",16715151.7194761,16717694.867743,16716889.2104423,16718757.3679413,17.519504887527,56306567228.3225,198258522684.983,0.516049904761905,35.9564841467453,2.26469305543182,1211.32713041669,2793790,76641597.9780028,56324761612.1334,56323169243.9467,56326863399.515,198358740112.687,198357345899.946,198360591969.893
"11","Albania",2031,"Europe and central Asia",16797677.3249213,16800251.6063206,16799435.7039881,16801327.8435959,17.519504887527,58166620153.186,198210228348.299,0.516049904761905,37.0543685204343,2.30998691654046,1220.51715114343,2785407,78531170.2890519,58187099906.4692,58185413938.0072,58189325548.4667,198322049699.082,198320446221.955,198324177186.171
