"","location","year","gdp"
"1075","Afghanistan","2019","78557606649"
"1343","Afghanistan","2020","76710638230"
"1611","Afghanistan","2021","60801742189"
"8","Afghanistan","2022","63595367648.2004"
"9","Afghanistan","2023","65387306099.3437"
"10","Afghanistan","2024","67660532122.1685"
"11","Afghanistan","2025","70177077906.3554"
"12","Afghanistan","2026","72689568046.1629"
"13","Afghanistan","2027","75341929617.9807"
"14","Afghanistan","2028","78007024808.3341"
"15","Afghanistan","2029","79955187471.0934"
"16","Afghanistan","2030","81952003928.4295"
"17","Afghanistan","2031","83998689269.7043"
"18","Afghanistan","2032","86096488930.1584"
"19","Afghanistan","2033","88246679448.7755"
"20","Afghanistan","2034","90450569245.0728"
"21","Afghanistan","2035","92709499415.2919"
"22","Afghanistan","2036","95024844548.4739"
"23","Afghanistan","2037","97398013562.9146"
"24","Afghanistan","2038","99830450563.5106"
"25","Afghanistan","2039","102323635720.516"
"26","Afghanistan","2040","104879086170.245"
"27","Afghanistan","2041","107498356938.272"
"28","Afghanistan","2042","110183041885.681"
"29","Afghanistan","2043","112934774678.956"
"30","Afghanistan","2044","115755229784.086"
"31","Afghanistan","2045","118646123485.5"
"32","Afghanistan","2046","121609214930.45"
"33","Afghanistan","2047","124646307199.474"
"34","Afghanistan","2048","127759248403.596"
"35","Afghanistan","2049","130949932808.925"
"36","Afghanistan","2050","134220301989.342"
"1078","Albania","2019","38968979796"
"1346","Albania","2020","37682192114"
"1614","Albania","2021","41039120681"
"81","Albania","2022","43027055686.7876"
"91","Albania","2023","44579041585.41"
"101","Albania","2024","46063523670.2042"
"111","Albania","2025","47643041896.8555"
"121","Albania","2026","49287203272.716"
"131","Albania","2027","50995497738.1483"
"141","Albania","2028","52763001689.7525"
"151","Albania","2029","54505995099.7332"
"161","Albania","2030","56306567228.3225"
"171","Albania","2031","58166620153.186"
"181","Albania","2032","60088118785.9589"
"191","Albania","2033","62073092947.9275"
"201","Albania","2034","64123639514.2797"
"211","Albania","2035","66241924629.1896"
"221","Albania","2036","68430185994.0759"
"231","Albania","2037","70690735231.4517"
"241","Albania","2038","73025960326.8625"
"251","Albania","2039","75438328151.4921"
"261","Albania","2040","77930387068.1013"
"272","Albania","2041","80504769623.0523"
"281","Albania","2042","83164195327.2622"
"291","Albania","2043","85911473529.0238"
"301","Albania","2044","88749506381.7283"
"311","Albania","2045","91681291909.6248"
"321","Albania","2046","94709927174.8552"
"331","Albania","2047","97838611549.1104"
"341","Albania","2048","101070650093.363"
"351","Albania","2049","104409457049.25"
"361","Albania","2050","107858559445.785"
"1081","United Arab Emirates","2019","6.61e+11"
"1349","United Arab Emirates","2020","6.28e+11"
"1617","United Arab Emirates","2021","6.56e+11"
"82","United Arab Emirates","2022","7.07496e+11"
"9.1","United Arab Emirates","2023","731437664640"
"102","United Arab Emirates","2024","760782943745.357"
"112","United Arab Emirates","2025","792378259399.102"
"122","United Arab Emirates","2026","826189039727.662"
"132","United Arab Emirates","2027","862219143750.185"
"142","United Arab Emirates","2028","900794828241.568"
"152","United Arab Emirates","2029","920193319879.037"
"162","United Arab Emirates","2030","940009555342.304"
"172","United Arab Emirates","2031","960252530686.695"
"182","United Arab Emirates","2032","980931435696.337"
"192","United Arab Emirates","2033","1002055658056.08"
"202","United Arab Emirates","2034","1023634787613.28"
"212","United Arab Emirates","2035","1045678620731.31"
"222","United Arab Emirates","2036","1068197164736.87"
"232","United Arab Emirates","2037","1091200642463.05"
"242","United Arab Emirates","2038","1114699496890.25"
"252","United Arab Emirates","2039","1138704395886.98"
"262","United Arab Emirates","2040","1163226237052.83"
"273","United Arab Emirates","2041","1188276152665.69"
"282","United Arab Emirates","2042","1213865514735.5"
"292","United Arab Emirates","2043","1240005940166.87"
"302","United Arab Emirates","2044","1266709296032.82"
"312","United Arab Emirates","2045","1293987704962.15"
"322","United Arab Emirates","2046","1321853550642.79"
"332","United Arab Emirates","2047","1350319483443.67"
"342","United Arab Emirates","2048","1379398426157.66"
"352","United Arab Emirates","2049","1409103579868.18"
"362","United Arab Emirates","2050","1439448429942.15"
"1082","Argentina","2019","9.92e+11"
"1350","Argentina","2020","8.94e+11"
"1618","Argentina","2021","9.89e+11"
"83","Argentina","2022","1038014840000"
"93","Argentina","2023","1012064469000"
"10.1","Argentina","2024","1039896241897.5"
"113","Argentina","2025","1073692869759.17"
"123","Argentina","2026","1105903655851.95"
"133","Argentina","2027","1136316006387.88"
"143","Argentina","2028","1164723906547.58"
"153","Argentina","2029","1153829402103.66"
"163","Argentina","2030","1143036801833.27"
"173","Argentina","2031","1132345152553.02"
"183","Argentina","2032","1121753509995.34"
"193","Argentina","2033","1111260938725.08"
"203","Argentina","2034","1100866512056.9"
"213","Argentina","2035","1090569311973.39"
"223","Argentina","2036","1080368429044.05"
"233","Argentina","2037","1070262962344.93"
"243","Argentina","2038","1060252019379.07"
"253","Argentina","2039","1050334715997.67"
"263","Argentina","2040","1040510176322.04"
"275","Argentina","2041","1030777532666.19"
"283","Argentina","2042","1021135925460.23"
"293","Argentina","2043","1011584503174.46"
"303","Argentina","2044","1002122422244.14"
"313","Argentina","2045","992748846995.008"
"323","Argentina","2046","983462949569.464"
"333","Argentina","2047","974263909853.459"
"343","Argentina","2048","965150915404.064"
"353","Argentina","2049","956123161377.716"
"363","Argentina","2050","947179850459.134"
"1083","Armenia","2019","40384118258"
"1351","Armenia","2020","37476461744"
"1619","Armenia","2021","39650096525"
"84","Armenia","2022","44647594691.011"
"94","Armenia","2023","47787213549.6829"
"104","Armenia","2024","50177529971.438"
"11.1","Armenia","2025","52435518820.1527"
"124","Armenia","2026","54795117167.0596"
"134","Armenia","2027","57260897439.5773"
"144","Armenia","2028","59837637824.3583"
"154","Armenia","2029","62878256360.6256"
"164","Armenia","2030","66073382351.0513"
"174","Armenia","2031","69430867011.796"
"184","Armenia","2032","72958960514.4984"
"194","Armenia","2033","76666332258.9905"
"204","Armenia","2034","80562092176.1612"
"214","Armenia","2035","84655813113.3134"
"224","Armenia","2036","88957554357.0217"
"234","Armenia","2037","93477886351.2913"
"244","Armenia","2038","98227916671.7583"
"254","Armenia","2039","103219317319.755"
"264","Armenia","2040","108464353403.307"
"276","Armenia","2041","113975913275.547"
"284","Armenia","2042","119767540204.586"
"294","Armenia","2043","125853465652.682"
"304","Armenia","2044","132248644246.467"
"314","Armenia","2045","138968790524.172"
"324","Armenia","2046","146030417550.138"
"334","Armenia","2047","153450877491.507"
"344","Armenia","2048","161248404256.797"
"354","Armenia","2049","169442158301.131"
"364","Armenia","2050","178052273708.224"
"1086","Australia","2019","1.25e+12"
"1354","Australia","2020","1.25e+12"
"1622","Australia","2021","1.27e+12"
"85","Australia","2022","1316888400000"
"95","Australia","2023","1340289506868"
"105","Australia","2024","1356868888067.96"
"115","Australia","2025","1383707754673.94"
"125","Australia","2026","1413997117423.75"
"135","Australia","2027","1446476631210.97"
"14.1","Australia","2028","1479774523261.45"
"155","Australia","2029","1517586443386.59"
"165","Australia","2030","1556364552131.07"
"175","Australia","2031","1596133538017.57"
"185","Australia","2032","1636918720421.96"
"195","Australia","2033","1678746065693.14"
"205","Australia","2034","1721642203684.82"
"215","Australia","2035","1765634444709.71"
"225","Australia","2036","1810750796926.95"
"235","Australia","2037","1857019984173.83"
"245","Australia","2038","1904471464253.12"
"255","Australia","2039","1953135447687.73"
"265","Australia","2040","2003042916954.59"
"2710","Australia","2041","2054225646209.99"
"285","Australia","2042","2106716221518.94"
"295","Australia","2043","2160548061601.48"
"305","Australia","2044","2215755439109.07"
"315","Australia","2045","2272373502444.69"
"325","Australia","2046","2330438298140.43"
"335","Australia","2047","2389986793806.95"
"345","Australia","2048","2451056901669.33"
"355","Australia","2049","2513687502704.3"
"365","Australia","2050","2577918471394.28"
"1087","Austria","2019","4.95e+11"
"1355","Austria","2020","4.62e+11"
"1623","Austria","2021","4.82e+11"
"86","Austria","2022","505372180000"
"96","Austria","2023","505852283571"
"106","Austria","2024","509732170585.99"
"116","Austria","2025","518326254982.07"
"126","Austria","2026","528381784328.722"
"136","Austria","2027","537411829022.9"
"146","Austria","2028","544145599240.557"
"15.1","Austria","2029","555120634522.145"
"166","Austria","2030","566317028571.681"
"176","Austria","2031","577739246040.338"
"186","Austria","2032","589391841628.174"
"196","Austria","2033","601279461900.354"
"206","Austria","2034","613406847140.005"
"216","Austria","2035","625778833238.441"
"226","Austria","2036","638400353623.515"
"236","Austria","2037","651276441226.861"
"246","Austria","2038","664412230490.815"
"256","Austria","2039","677812959415.817"
"266","Austria","2040","691483971649.103"
"2711","Austria","2041","705430718615.528"
"286","Austria","2042","719658761691.365"
"296","Austria","2043","734173774421.947"
"306","Austria","2044","748981544784.04"
"316","Austria","2045","764087977493.844"
"326","Austria","2046","779499096361.544"
"336","Austria","2047","795221046693.356"
"346","Austria","2048","811260097742.012"
"356","Austria","2049","827622645206.679"
"366","Austria","2050","844315213783.291"
"1089","Burundi","2019","8664576039"
"1357","Burundi","2020","8692922796"
"1625","Burundi","2021","8962403403"
"87","Burundi","2022","9126146513.17281"
"97","Burundi","2023","9430594760.85225"
"107","Burundi","2024","9991715149.12296"
"117","Burundi","2025","10585722614.7383"
"127","Burundi","2026","11189108803.7784"
"137","Burundi","2027","11853965648.8989"
"147","Burundi","2028","12501903411.2677"
"157","Burundi","2029","12605168052.4721"
"167","Burundi","2030","12709285650.6841"
"17.1","Burundi","2031","12814263251.2549"
"187","Burundi","2032","12920107957.7295"
"197","Burundi","2033","13026826932.3278"
"207","Burundi","2034","13134427396.4289"
"217","Burundi","2035","13242916631.0598"
"227","Burundi","2036","13352301977.3883"
"237","Burundi","2037","13462590837.2195"
"247","Burundi","2038","13573790673.4968"
"257","Burundi","2039","13685909010.8069"
"267","Burundi","2040","13798953435.8889"
"2712","Burundi","2041","13912931598.1477"
"287","Burundi","2042","14027851210.1717"
"297","Burundi","2043","14143720048.2545"
"307","Burundi","2044","14260545952.9214"
"317","Burundi","2045","14378336829.4595"
"327","Burundi","2046","14497100648.4531"
"337","Burundi","2047","14616845446.3227"
"347","Burundi","2048","14737579325.869"
"357","Burundi","2049","14859310456.8211"
"367","Burundi","2050","14982047076.3894"
"1090","Belgium","2019","5.97e+11"
"1358","Belgium","2020","5.66e+11"
"1626","Belgium","2021","6.05e+11"
"88","Belgium","2022","624650400000"
"98","Belgium","2023","630903150504"
"108","Belgium","2024","636278445346.294"
"118","Belgium","2025","644060130732.879"
"128","Belgium","2026","651737327491.215"
"138","Belgium","2027","659844939845.206"
"148","Belgium","2028","668449317860.787"
"158","Belgium","2029","679834996624.366"
