"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"1","Albania",2021,"Europe and central Asia",16029813.5654678,16029813.5654678,16029813.5654678,16029813.5654678,17.519504887527,41039120681,215221374693.12
"2","Albania",2022,"Europe and central Asia",16096015.6904284,16097198.2508424,16096797.7695021,16097748.2092398,17.519504887527,43027055686.7876,211650156711.97
"3","Albania",2023,"Europe and central Asia",16157817.5859901,16159646.5574147,16159044.2035383,16160461.6440154,17.519504887527,44579041585.41,208605776000.377
"4","Albania",2024,"Europe and central Asia",16219490.483261,16221659.5935265,16220959.2111109,16222595.7902609,17.519504887527,46063523670.2042,205985514569.727
"5","Albania",2025,"Europe and central Asia",16311449.9434136,16313789.5443421,16313042.5388464,16314780.2267507,17.519504887527,47643041896.8555,203756340122.009
"6","Albania",2026,"Europe and central Asia",16413193.6400588,16415620.8682567,16414850.2666043,16416638.9115476,17.519504887527,49287203272.716,201915348169.595
"7","Albania",2027,"Europe and central Asia",16488302.8120553,16490775.2628373,16489992.029651,16491808.5765318,17.519504887527,50995497738.1483,200454454747.404
"8","Albania",2028,"Europe and central Asia",16569935.1544613,16572433.2369027,16571642.2934155,16573476.2974011,17.519504887527,52763001689.7525,199365890728.687
"9","Albania",2029,"Europe and central Asia",16632716.2697659,16635236.6837354,16634438.5197756,16636289.2172504,17.519504887527,54505995099.7332,198641412852.095
"10","Albania",2030,"Europe and central Asia",16715151.7194761,16717694.867743,16716889.2104423,16718757.3679413,17.519504887527,56306567228.3225,198258522684.983
"11","Albania",2031,"Europe and central Asia",16797677.3249213,16800251.6063206,16799435.7039881,16801327.8435959,17.519504887527,58166620153.186,198210228348.299
"12","Albania",2032,"Europe and central Asia",16851870.2605336,16854479.920114,16853652.4621981,16855571.7377411,17.519504887527,60088118785.9589,198490220791.53
"13","Albania",2033,"Europe and central Asia",16915138.2410864,16917777.1734895,16916940.438388,16918860.0387411,17.519504887527,62073092947.9275,199092850659.483
"14","Albania",2034,"Europe and central Asia",16933971.9267582,16936636.6473391,16935791.9603026,16937725.947032,17.519504887527,64123639514.2797,200013106679.36
"15","Albania",2035,"Europe and central Asia",16964809.5264208,16967507.5854939,16966652.7188254,16968606.7089001,17.519504887527,66241924629.1896,201246595504.157
