"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper"
"23","Afghanistan",2021,"South Asia",62684989.2845129,62684989.2845129,62684989.2845129,62684989.2845129
"46","Afghanistan",2022,"South Asia",62762116.6304215,62768764.656425,62765757.1814743,62773805.3768603
"69","Afghanistan",2023,"South Asia",63115468.4583099,63125849.500222,63121198.8787333,63133607.2936957
"92","Afghanistan",2024,"South Asia",63379537.4534968,63392021.0333316,63386468.3065613,63401256.8564451
"115","Afghanistan",2025,"South Asia",63612873.3251394,63626578.1188031,63620506.8484306,63636666.0689136
"138","Afghanistan",2026,"South Asia",63841921.0406484,63856407.2002446,63849998.3526045,63867063.9949648
"161","Afghanistan",2027,"South Asia",64411852.3334939,64427000.4631644,64420301.2344304,64438152.825539
"184","Afghanistan",2028,"South Asia",65412422.414634,65428306.9543431,65421288.0203953,65440000.2840028
"207","Afghanistan",2029,"South Asia",66450399.1521412,66467022.5266892,66459684.0499866,66479253.5721575
"230","Afghanistan",2030,"South Asia",67482866.774289,67500196.2321186,67492551.500446,67512940.659517
"253","Afghanistan",2031,"South Asia",68491288.7008796,68509315.2439558,68501367.8448669,68522565.5600211
"276","Afghanistan",2032,"South Asia",69564634.9893307,69583371.9128553,69575115.8102441,69597138.2094351
"299","Afghanistan",2033,"South Asia",70789763.4241129,70809237.186627,70800660.7798667,70823539.4451552
"322","Afghanistan",2034,"South Asia",71960388.1239468,71980614.83628,71971711.0939279,71995465.7494232
"345","Afghanistan",2035,"South Asia",73116031.1952167,73137035.0904652,73127793.5935731,73152452.5363191
"368","Afghanistan",2036,"South Asia",74238145.2958161,74259947.1499718,74250358.7839156,74275946.3714836
"391","Afghanistan",2037,"South Asia",75301562.5030582,75324186.2015807,75314240.5952933,75340784.7286009
"414","Afghanistan",2038,"South Asia",76350885.3357938,76374355.8889979,76364042.1224829,76391571.5861952
"437","Afghanistan",2039,"South Asia",77301702.5140119,77326039.0952672,77315347.6120309,77343885.3036949
"460","Afghanistan",2040,"South Asia",78203587.1475501,78228809.6340515,78217731.7984362,78247300.4776679
"483","Afghanistan",2041,"South Asia",79061314.3299659,79087435.0131421,79075965.3725974,79106578.8148295
"506","Afghanistan",2042,"South Asia",79839874.8484967,79866905.1186459,79855038.3596537,79886710.3764263
"529","Afghanistan",2043,"South Asia",80565967.1356682,80593922.2642578,80581651.8948769,80614399.9150531
"552","Afghanistan",2044,"South Asia",81201164.6945885,81230019.3999958,81217356.7987151,81251148.9872705
"575","Afghanistan",2045,"South Asia",81763899.633222,81793655.7570739,81780600.1447711,81815438.5974369
"598","Afghanistan",2046,"South Asia",82266847.9580661,82297498.295917,82284053.2518072,82319928.883049
"621","Afghanistan",2047,"South Asia",82696567.997205,82728097.1317719,82714269.6744542,82751164.2614723
"644","Afghanistan",2048,"South Asia",83045974.9118017,83078376.0857475,83064169.5152074,83102075.7355644
"667","Afghanistan",2049,"South Asia",83361899.5676215,83395119.4822241,83380557.7393451,83419411.2876282
"690","Afghanistan",2050,"South Asia",83753375.3245574,83787390.0827983,83772484.2844328,83812258.0555756
"713","Albania",2021,"Europe and central Asia",16029813.5654678,16029813.5654678,16029813.5654678,16029813.5654678
"736","Albania",2022,"Europe and central Asia",16096015.6904284,16097198.2508424,16096797.7695021,16097748.2092398
"759","Albania",2023,"Europe and central Asia",16157817.5859901,16159646.5574147,16159044.2035383,16160461.6440154
"782","Albania",2024,"Europe and central Asia",16219490.483261,16221659.5935265,16220959.2111109,16222595.7902609
"805","Albania",2025,"Europe and central Asia",16311449.9434136,16313789.5443421,16313042.5388464,16314780.2267507
"828","Albania",2026,"Europe and central Asia",16413193.6400588,16415620.8682567,16414850.2666043,16416638.9115476
"851","Albania",2027,"Europe and central Asia",16488302.8120553,16490775.2628373,16489992.029651,16491808.5765318
"874","Albania",2028,"Europe and central Asia",16569935.1544613,16572433.2369027,16571642.2934155,16573476.2974011
"897","Albania",2029,"Europe and central Asia",16632716.2697659,16635236.6837354,16634438.5197756,16636289.2172504
"920","Albania",2030,"Europe and central Asia",16715151.7194761,16717694.867743,16716889.2104423,16718757.3679413
"943","Albania",2031,"Europe and central Asia",16797677.3249213,16800251.6063206,16799435.7039881,16801327.8435959
"966","Albania",2032,"Europe and central Asia",16851870.2605336,16854479.920114,16853652.4621981,16855571.7377411
"989","Albania",2033,"Europe and central Asia",16915138.2410864,16917777.1734895,16916940.438388,16918860.0387411
"1012","Albania",2034,"Europe and central Asia",16933971.9267582,16936636.6473391,16935791.9603026,16937725.947032
"1035","Albania",2035,"Europe and central Asia",16964809.5264208,16967507.5854939,16966652.7188254,16968606.7089001
"1058","Albania",2036,"Europe and central Asia",16979613.0030067,16982352.2747171,16981484.6413092,16983464.4126536
"1081","Albania",2037,"Europe and central Asia",16961088.1625939,16963874.7996695,16962992.355559,16965002.7021281
"1104","Albania",2038,"Europe and central Asia",16958176.5626547,16961018.6460636,16960118.7931028,16962165.5148321
"1127","Albania",2039,"Europe and central Asia",16926230.0954131,16929133.8699114,16928214.4604406,16930302.7062431
"1150","Albania",2040,"Europe and central Asia",16898715.5852688,16901693.9997885,16900750.8276446,16902889.8998707
"1173","Albania",2041,"Europe and central Asia",16845787.4573202,16848839.600986,16847872.9382436,16850062.3050565
"1196","Albania",2042,"Europe and central Asia",16755776.2007626,16758900.1864741,16757910.3657025,16760148.8901404
"1219","Albania",2043,"Europe and central Asia",16670902.6213563,16674101.7730631,16673087.6410269,16675377.5715979
"1242","Albania",2044,"Europe and central Asia",16550132.5451519,16553404.7768814,16552366.6850592,16554705.8165625
"1265","Albania",2045,"Europe and central Asia",16417388.9997919,16420740.7569607,16419676.4535976,16422069.3004044
"1288","Albania",2046,"Europe and central Asia",16266991.4590243,16270419.7100724,16269329.9245483,16271774.5031321
"1311","Albania",2047,"Europe and central Asia",16068457.3773723,16071946.6667984,16070836.0350977,16073320.1908765
"1334","Albania",2048,"Europe and central Asia",15861265.3700152,15864814.6561779,15863683.4678474,15866206.2967698
"1357","Albania",2049,"Europe and central Asia",15623682.8706009,15627272.8895437,15626127.203866,15628675.0448152
"1380","Albania",2050,"Europe and central Asia",15357527.0354174,15361155.3371302,15359995.8564345,15362565.8157827
"1403","Algeria",2021,"Middle East and north Africa",120863614.689515,120863614.689515,120863614.689515,120863614.689515
"1426","Algeria",2022,"Middle East and north Africa",121757136.429123,121767927.69307,121763806.84507,121773217.664973
"1449","Algeria",2023,"Middle East and north Africa",122481543.777345,122498750.747025,122492263.731582,122506984.075627
"1472","Algeria",2024,"Middle East and north Africa",122932442.858517,122953542.743184,122945667.980844,122963470.45004
"1495","Algeria",2025,"Middle East and north Africa",123259502.421482,123283049.838826,123274325.271356,123294013.480358
"1518","Algeria",2026,"Middle East and north Africa",123460304.637572,123485490.187124,123476191.566406,123497174.869236
"1541","Algeria",2027,"Middle East and north Africa",123560470.1586,123586872.818482,123577135.167462,123599129.33592
