"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"1","Albania",2021,"Europe and central Asia",16029813.5654678,16029813.5654678,16029813.5654678,16029813.5654678,17.519504887527,41039120681,215221374693.12,0.516049904761905,25.7362001995683,1.89499383971782,1131.669115,2861567,61366476.0526278
"2","Albania",2022,"Europe and central Asia",16096015.6904284,16097198.2508424,16096797.7695021,16097748.2092398,17.519504887527,43027055686.7876,211650156711.97,0.516049904761905,27.1444529812868,1.93289371651217,1140.25479128967,2847853,62766432.9635725
"3","Albania",2023,"Europe and central Asia",16157817.5859901,16159646.5574147,16159044.2035383,16160461.6440154,17.519504887527,44579041585.41,208605776000.377,0.516049904761905,28.2654865693066,1.97155159084242,1148.90560484992,2836789,64256864.2948683
"4","Albania",2024,"Europe and central Asia",16219490.483261,16221659.5935265,16220959.2111109,16222595.7902609,17.519504887527,46063523670.2042,205985514569.727,0.516049904761905,29.3282266155827,2.01098262265926,1157.62204986011,2828089,65836719.1982348
"5","Albania",2025,"Europe and central Asia",16311449.9434136,16313789.5443421,16313042.5388464,16314780.2267507,17.519504887527,47643041896.8555,203756340122.009,0.516049904761905,30.4052074388017,2.05120227511245,1166.40462424881,2823951,67563926.2268629
"6","Albania",2026,"Europe and central Asia",16413193.6400588,16415620.8682567,16414850.2666043,16416638.9115476,17.519504887527,49287203272.716,201915348169.595,0.516049904761905,31.4917425145528,2.0922263206147,1175.25382972224,2819302,69323732.1847048
"7","Albania",2027,"Europe and central Asia",16488302.8120553,16490775.2628373,16489992.029651,16491808.5765318,17.519504887527,50995497738.1483,200454454747.404,0.516049904761905,32.6210015335324,2.13407084702699,1184.17017179295,2814087,71114878.1686458
"8","Albania",2028,"Europe and central Asia",16569935.1544613,16572433.2369027,16571642.2934155,16573476.2974011,17.519504887527,52763001689.7525,199365890728.687,0.516049904761905,33.7545692453637,2.17675226396753,1193.15415980865,2808134,72932884.852376
"9","Albania",2029,"Europe and central Asia",16632716.2697659,16635236.6837354,16634438.5197756,16636289.2172504,17.519504887527,54505995099.7332,198641412852.095,0.516049904761905,34.8630162557646,2.22028730924688,1202.20630698136,2801409,74776425.0212408
"10","Albania",2030,"Europe and central Asia",16715151.7194761,16717694.867743,16716889.2104423,16718757.3679413,17.519504887527,56306567228.3225,198258522684.983,0.516049904761905,35.9564841467453,2.26469305543182,1211.32713041669,2793790,76641597.9780028
