Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121109009,2290010199,2424716705,2601907564,2815365492,2887076896,2921311523,3127172694,3189465488,3228952405,3475092884,3620421360,3586210019,3626035061,3890508230,3875602152,3919296161,4040384536,4114556125,3634068875,3534733212,3653826791,3615797756,3848347132,3787290232,3763671719,3828392726,4098238261,4195847236,4099223720,3116124098,3977400761,4393369954
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44E+11,9.44E+11,9.26E+11,9.21E+11,9.38E+11,9.80E+11,1.03E+12,1.08E+12,1.10E+12,1.13E+12,1.17E+12,1.21E+12,1.26E+12,1.30E+12,1.37E+12,1.46E+12,1.56E+12,1.66E+12,1.74E+12,1.75E+12,1.84E+12,1.92E+12,1.96E+12,2.05E+12,2.13E+12,2.20E+12,2.26E+12,2.32E+12,2.39E+12,2.44E+12,2.38E+12,2.48E+12,2.57E+12
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26890054382,29265058689,29678901146,33011757108,34780330056,39589169630,41143038133,49943751387,57116893447,57360414055,64675178731,68297470349,70158264545,71176481723,72785293848,74711922906,75600418109,78557606649,76710638230,60801742189,
Africa Western and Central,AFW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77E+11,5.84E+11,5.98E+11,5.92E+11,5.92E+11,6.05E+11,6.33E+11,6.61E+11,6.84E+11,6.96E+11,7.21E+11,7.58E+11,8.29E+11,8.74E+11,9.43E+11,9.97E+11,1.05E+12,1.11E+12,1.18E+12,1.25E+12,1.33E+12,1.40E+12,1.47E+12,1.56E+12,1.65E+12,1.70E+12,1.70E+12,1.75E+12,1.80E+12,1.86E+12,1.85E+12,1.92E+12,1.99E+12
Angola,AGO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68524299596,69203621615,65163319907,49534928875,50198381600,57728138855,65547051434,70315125753,73613711280,75219586822,77517262550,80777637494,91816458022,94561770117,1.05E+11,1.21E+11,1.35E+11,1.53E+11,1.71E+11,1.72E+11,1.80E+11,1.86E+11,2.02E+11,2.12E+11,2.22E+11,2.24E+11,2.18E+11,2.18E+11,2.15E+11,2.14E+11,2.02E+11,2.04E+11,2.10E+11
Albania,ALB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15864306645,11421961025,10601052018,11614450223,12578782531,14254569868,15551735645,13853488589,15076671802,17020175959,18202434246,19712019024,20606259530,21745504914,22944697296,24212718611,25641912834,27176135024,29214356410,30194290456,31313574128,32110631768,32565717385,32892031585,33475683862,34218417690,35352751626,36697074907,38172057179,38968979796,37682192114,41039120681,43032145215
Andorra,AND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20E+12,2.25E+12,2.36E+12,2.42E+12,2.50E+12,2.56E+12,2.68E+12,2.80E+12,2.94E+12,3.00E+12,3.20E+12,3.25E+12,3.27E+12,3.43E+12,3.72E+12,3.93E+12,4.16E+12,4.34E+12,4.59E+12,4.61E+12,4.82E+12,4.98E+12,5.25E+12,5.39E+12,5.53E+12,5.76E+12,5.98E+12,6.08E+12,6.24E+12,6.34E+12,6.06E+12,6.29E+12,6.68E+12
United Arab Emirates,ARE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08E+11,2.10E+11,2.17E+11,2.20E+11,2.35E+11,2.51E+11,2.65E+11,2.87E+11,2.88E+11,2.96E+11,3.29E+11,3.33E+11,3.41E+11,3.71E+11,4.07E+11,4.27E+11,4.69E+11,4.83E+11,4.99E+11,4.73E+11,4.80E+11,5.10E+11,5.19E+11,5.46E+11,5.68E+11,6.07E+11,6.41E+11,6.46E+11,6.54E+11,6.61E+11,6.28E+11,6.56E+11,7.07E+11
Argentina,ARG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61E+11,5.04E+11,5.43E+11,5.88E+11,6.22E+11,6.05E+11,6.38E+11,6.90E+11,7.16E+11,6.92E+11,6.87E+11,6.56E+11,5.85E+11,6.37E+11,6.94E+11,7.56E+11,8.16E+11,8.90E+11,9.26E+11,8.71E+11,9.59E+11,1.02E+12,1.01E+12,1.03E+12,1.00E+12,1.03E+12,1.01E+12,1.04E+12,1.01E+12,9.92E+11,8.94E+11,9.89E+11,1.04E+12
